0	sky	Cúpula HDRI	skyHdri	11,8,10	68,48,68
25	ground	Huerta sendero norte	paver	4.650000095367432,0.05000000074505806,5.050000190734863	5.5,0.03999999910593033,0.7200000286102295
26	ground	Huerta sendero central	paver	4.650000095367432,0.05000000074505806,6.550000190734863	0.7200000286102295,0.03999999910593033,3.299999952316284
27	ground	Huerta cantero 1 sustrato	soil	3.1500000953674316,0.1599999964237213,4.199999809265137	2.200000047683716,0.2199999988079071,1.0499999523162842
28	ground	Huerta cantero 1 marco norte	woodDark	3.1500000953674316,0.23999999463558197,3.674999952316284	2.200000047683716,0.1599999964237213,0.07999999821186066
29	ground	Huerta cantero 1 marco sur	woodDark	3.1500000953674316,0.23999999463558197,4.724999904632568	2.200000047683716,0.1599999964237213,0.07999999821186066
30	ground	Huerta cantero 1 marco oeste	woodDark	2.049999952316284,0.23999999463558197,4.199999809265137	0.07999999821186066,0.1599999964237213,1.0499999523162842
31	ground	Huerta cantero 1 marco este	woodDark	4.25,0.23999999463558197,4.199999809265137	0.07999999821186066,0.1599999964237213,1.0499999523162842
32	ground	Huerta cantero 2 sustrato	soil	6.150000095367432,0.1599999964237213,4.199999809265137	2.200000047683716,0.2199999988079071,1.0499999523162842
33	ground	Huerta cantero 2 marco norte	woodDark	6.150000095367432,0.23999999463558197,3.674999952316284	2.200000047683716,0.1599999964237213,0.07999999821186066
34	ground	Huerta cantero 2 marco sur	woodDark	6.150000095367432,0.23999999463558197,4.724999904632568	2.200000047683716,0.1599999964237213,0.07999999821186066
35	ground	Huerta cantero 2 marco oeste	woodDark	5.050000190734863,0.23999999463558197,4.199999809265137	0.07999999821186066,0.1599999964237213,1.0499999523162842
36	ground	Huerta cantero 2 marco este	woodDark	7.25,0.23999999463558197,4.199999809265137	0.07999999821186066,0.1599999964237213,1.0499999523162842
37	ground	Huerta cantero 3 sustrato	soil	3.1500000953674316,0.1599999964237213,7.150000095367432	2.200000047683716,0.2199999988079071,1.0499999523162842
38	ground	Huerta cantero 3 marco norte	woodDark	3.1500000953674316,0.23999999463558197,6.625	2.200000047683716,0.1599999964237213,0.07999999821186066
39	ground	Huerta cantero 3 marco sur	woodDark	3.1500000953674316,0.23999999463558197,7.675000190734863	2.200000047683716,0.1599999964237213,0.07999999821186066
40	ground	Huerta cantero 3 marco oeste	woodDark	2.049999952316284,0.23999999463558197,7.150000095367432	0.07999999821186066,0.1599999964237213,1.0499999523162842
41	ground	Huerta cantero 3 marco este	woodDark	4.25,0.23999999463558197,7.150000095367432	0.07999999821186066,0.1599999964237213,1.0499999523162842
42	ground	Huerta cantero 4 sustrato	soil	6.150000095367432,0.1599999964237213,7.150000095367432	2.200000047683716,0.2199999988079071,1.0499999523162842
43	ground	Huerta cantero 4 marco norte	woodDark	6.150000095367432,0.23999999463558197,6.625	2.200000047683716,0.1599999964237213,0.07999999821186066
44	ground	Huerta cantero 4 marco sur	woodDark	6.150000095367432,0.23999999463558197,7.675000190734863	2.200000047683716,0.1599999964237213,0.07999999821186066
45	ground	Huerta cantero 4 marco oeste	woodDark	5.050000190734863,0.23999999463558197,7.150000095367432	0.07999999821186066,0.1599999964237213,1.0499999523162842
46	ground	Huerta cantero 4 marco este	woodDark	7.25,0.23999999463558197,7.150000095367432	0.07999999821186066,0.1599999964237213,1.0499999523162842
47	ground	Banco huerta	woodDark	7.949999809265137,0.33000001311302185,6.550000190734863	1.25,0.5600000023841858,0.41999998688697815
48	ground	Apoyo banco huerta	blackMetal	7.949999809265137,0.17000000178813934,6.550000190734863	1.0499999523162842,0.18000000715255737,0.3199999928474426
49	ground	Árbol lote 1 tronco	woodDark	2,0.9735000133514404,11.699999809265137	0.10147999972105026,1.9470000267028809,0.10147999972105026
50	ground	Árbol lote 1 alcorque	soil	2,0.0430000014603138,11.699999809265137	0.5428000092506409,0.01600000075995922,0.5428000092506409
51	ground	Árbol lote 1 rama 0	woodDark	2.3236281871795654,2.039003849029541,11.737923622131348	0.04424852877855301,1.501052975654602,0.04424852877855301
52	ground	Árbol lote 1 ramilla 0-0	woodDark	2.7935729026794434,2.921316146850586,11.63012981414795	0.011800000444054604,0.5836576819419861,0.011800000444054604
53	ground	Árbol lote 1 ramilla 0-1	woodDark	2.852353096008301,2.9413678646087646,11.799881935119629	0.011800000444054604,0.6126526594161987,0.011800000444054604
54	ground	Árbol lote 1 ramilla 0-2	woodDark	2.755919933319092,2.921114444732666,11.951445579528809	0.011800000444054604,0.5833728909492493,0.011800000444054604
55	ground	Árbol lote 1 rama 1	woodDark	2.1795079708099365,2.1433544158935547,12.182352066040039	0.0451282300055027,1.782056450843811,0.0451282300055027
56	ground	Árbol lote 1 ramilla 1-0	woodDark	2.5553858280181885,3.151188611984253,12.728588104248047	0.011800000444054604,0.6965948343276978,0.011800000444054604
57	ground	Árbol lote 1 ramilla 1-1	woodDark	2.431039571762085,3.1136553287506104,12.858237266540527	0.011800000444054604,0.6376996636390686,0.011800000444054604
58	ground	Árbol lote 1 ramilla 1-2	woodDark	2.2521872520446777,3.044808864593506,12.841423988342285	0.011800000444054604,0.540196418762207,0.011800000444054604
59	ground	Árbol lote 1 rama 2	woodDark	1.7211400270462036,2.176365852355957,12.134129524230957	0.04916422814130783,1.7509503364562988,0.04916422814130783
60	ground	Árbol lote 1 ramilla 2-0	woodDark	1.5090049505233765,3.044816493988037,12.76368236541748	0.011800000444054604,0.5239190459251404,0.011800000444054604
61	ground	Árbol lote 1 ramilla 2-1	woodDark	1.3306770324707031,3.0025386810302734,12.74200439453125	0.011800000444054604,0.47657573223114014,0.011800000444054604
62	ground	Árbol lote 1 ramilla 2-2	woodDark	1.236808180809021,2.9793033599853516,12.588839530944824	0.011800000444054604,0.4551715552806854,0.011800000444054604
63	ground	Árbol lote 1 rama 3	woodDark	1.7326231002807617,2.1346356868743896,11.877735137939453	0.05024898052215576,1.3829785585403442,0.05024898052215576
64	ground	Árbol lote 1 ramilla 3-0	woodDark	1.447893500328064,2.9062047004699707,12.261239051818848	0.011800000444054604,0.521404504776001,0.011800000444054604
65	ground	Árbol lote 1 ramilla 3-1	woodDark	1.2932747602462769,2.8628714084625244,12.169784545898438	0.011800000444054604,0.4735057055950165,0.011800000444054604
66	ground	Árbol lote 1 ramilla 3-2	woodDark	1.2688006162643433,2.9898719787597656,11.991819381713867	0.011800000444054604,0.6374773383140564,0.011800000444054604
67	ground	Árbol lote 1 rama 4	woodDark	1.471126675605774,2.0743496417999268,11.597728729248047	0.03824634104967117,1.4686279296875,0.03824634104967117
68	ground	Árbol lote 1 ramilla 4-0	woodDark	0.7855146527290344,2.742330312728882,11.629900932312012	0.011800000444054604,0.5335912704467773,0.011800000444054604
69	ground	Árbol lote 1 ramilla 4-1	woodDark	0.7395094037055969,2.8526604175567627,11.45625114440918	0.011800000444054604,0.6946336030960083,0.011800000444054604
70	ground	Árbol lote 1 ramilla 4-2	woodDark	0.8469367623329163,2.779970169067383,11.312271118164062	0.011800000444054604,0.5841704607009888,0.011800000444054604
71	ground	Árbol lote 1 rama 5	woodDark	1.9300744533538818,2.0842645168304443,11.356769561767578	0.03646015748381615,1.1497985124588013,0.03646015748381615
72	ground	Árbol lote 1 ramilla 5-0	woodDark	1.676023244857788,2.7902560234069824,10.920051574707031	0.011800000444054604,0.6487084031105042,0.011800000444054604
73	ground	Árbol lote 1 ramilla 5-1	woodDark	1.8189259767532349,2.634842872619629,10.811195373535156	0.011800000444054604,0.45436951518058777,0.011800000444054604
74	ground	Árbol lote 1 ramilla 5-2	woodDark	1.993025541305542,2.6310224533081055,10.855469703674316	0.011800000444054604,0.45123758912086487,0.011800000444054604
75	ground	Árbol lote 1 rama 6	woodDark	2.227201223373413,2.1742045879364014,11.29407787322998	0.04263122379779816,1.3552134037017822,0.04263122379779816
76	ground	Árbol lote 1 ramilla 6-0	woodDark	2.375945806503296,2.8952345848083496,10.697141647338867	0.011800000444054604,0.6157098412513733,0.011800000444054604
77	ground	Árbol lote 1 ramilla 6-1	woodDark	2.555260181427002,2.844089984893799,10.707962036132812	0.011800000444054604,0.5441884398460388,0.011800000444054604
78	ground	Árbol lote 1 ramilla 6-2	woodDark	2.658247709274292,2.9058330059051514,10.85515022277832	0.011800000444054604,0.6315910816192627,0.011800000444054604
79	ground	Árbol lote 1 rama 7	woodDark	2.344797372817993,2.0321037769317627,11.495762825012207	0.044048603624105453,0.9982115030288696,0.044048603624105453
80	ground	Árbol lote 1 ramilla 7-0	woodDark	2.7175979614257812,2.53875470161438,11.086933135986328	0.011800000444054604,0.5878258347511292,0.011800000444054604
81	ground	Árbol lote 1 ramilla 7-1	woodDark	2.86726450920105,2.472949743270874,11.186284065246582	0.011800000444054604,0.5027495622634888,0.011800000444054604
82	ground	Árbol lote 1 ramilla 7-2	woodDark	2.882474184036255,2.441324472427368,11.365280151367188	0.011800000444054604,0.46956557035446167,0.011800000444054604
83	ground	Árbol lote 1 hojas	leaf	2,0,11.699999809265137	1,1,1
84	ground	Árbol lote 2 tronco	woodDark	4.300000190734863,1.1054999828338623,16.799999237060547	0.11524000018835068,2.2109999656677246,0.11524000018835068
85	ground	Árbol lote 2 alcorque	soil	4.300000190734863,0.0430000014603138,16.799999237060547	0.6164000034332275,0.01600000075995922,0.6164000034332275
86	ground	Árbol lote 2 rama 0	woodDark	4.724970817565918,2.167879819869995,17.020702362060547	0.04904133081436157,1.5670772790908813,0.04904133081436157
87	ground	Árbol lote 2 ramilla 0-0	woodDark	5.363965034484863,2.8985254764556885,17.14556884765625	0.013399999588727951,0.5184319615364075,0.013399999588727951
88	ground	Árbol lote 2 ramilla 0-1	woodDark	5.35805082321167,3.0029215812683105,17.3494815826416	0.013399999588727951,0.6361001133918762,0.013399999588727951
89	ground	Árbol lote 2 ramilla 0-2	woodDark	5.194643974304199,3.0816495418548584,17.471603393554688	0.013399999588727951,0.7514922022819519,0.013399999588727951
90	ground	Árbol lote 2 rama 1	woodDark	4.515503406524658,2.1870408058166504,17.24658203125	0.04217338189482689,1.5246840715408325,0.04217338189482689
91	ground	Árbol lote 2 ramilla 1-0	woodDark	4.9597930908203125,2.954735040664673,17.744613647460938	0.013399999588727951,0.6019313335418701,0.013399999588727951
92	ground	Árbol lote 2 ramilla 1-1	woodDark	4.832921028137207,2.879162073135376,17.904359817504883	0.013399999588727951,0.5206820368766785,0.013399999588727951
93	ground	Árbol lote 2 ramilla 1-2	woodDark	4.628922462463379,2.920060873031616,17.904277801513672	0.013399999588727951,0.5610697865486145,0.013399999588727951
94	ground	Árbol lote 2 rama 2	woodDark	4.122908115386963,2.2577078342437744,17.24640655517578	0.042647648602724075,1.5205823183059692,0.042647648602724075
95	ground	Árbol lote 2 ramilla 2-0	woodDark	4.062809944152832,3.1386635303497314,17.896045684814453	0.013399999588727951,0.7483059167861938,0.013399999588727951
96	ground	Árbol lote 2 ramilla 2-1	woodDark	3.859344482421875,3.033724308013916,17.910789489746094	0.013399999588727951,0.5993765592575073,0.013399999588727951
97	ground	Árbol lote 2 ramilla 2-2	woodDark	3.7213189601898193,3.1061887741088867,17.760574340820312	0.013399999588727951,0.6988822817802429,0.013399999588727951
98	ground	Árbol lote 2 rama 3	woodDark	3.708606004714966,2.465266227722168,17.025299072265625	0.04177310690283775,1.942352533340454,0.04177310690283775
99	ground	Árbol lote 2 ramilla 3-0	woodDark	3.046388864517212,3.3283417224884033,17.474145889282227	0.013399999588727951,0.532802164554596,0.013399999588727951
100	ground	Árbol lote 2 ramilla 3-1	woodDark	2.898075580596924,3.486541271209717,17.33407974243164	0.013399999588727951,0.7375430464744568,0.013399999588727951
101	ground	Árbol lote 2 ramilla 3-2	woodDark	2.915600299835205,3.446645498275757,17.130834579467773	0.013399999588727951,0.677863359451294,0.013399999588727951
102	ground	Árbol lote 2 rama 4	woodDark	3.7575929164886475,2.418668270111084,16.791812896728516	0.05602691322565079,1.6623846292495728,0.05602691322565079
103	ground	Árbol lote 2 ramilla 4-0	woodDark	3.066662549972534,3.2732839584350586,16.96509552001953	0.013399999588727951,0.6497585773468018,0.013399999588727951
104	ground	Árbol lote 2 ramilla 4-1	woodDark	2.980712413787842,3.2858753204345703,16.780086517333984	0.013399999588727951,0.6674350500106812,0.013399999588727951
105	ground	Árbol lote 2 ramilla 4-2	woodDark	3.072206974029541,3.2109122276306152,16.59775733947754	0.013399999588727951,0.5705737471580505,0.013399999588727951
106	ground	Árbol lote 2 rama 5	woodDark	3.9158644676208496,2.42924427986145,16.377079010009766	0.04338933154940605,1.628340482711792,0.04338933154940605
107	ground	Árbol lote 2 ramilla 5-0	woodDark	3.297748327255249,3.144418716430664,15.96976089477539	0.013399999588727951,0.5412961840629578,0.013399999588727951
108	ground	Árbol lote 2 ramilla 5-1	woodDark	3.3740627765655518,3.200232982635498,15.780574798583984	0.013399999588727951,0.6048139929771423,0.013399999588727951
109	ground	Árbol lote 2 ramilla 5-2	woodDark	3.5696957111358643,3.1997222900390625,15.722753524780273	0.013399999588727951,0.6041696667671204,0.013399999588727951
110	ground	Árbol lote 2 rama 6	woodDark	4.432746887207031,2.6071114540100098,16.257034301757812	0.05735576152801514,1.787843108177185,0.05735576152801514
111	ground	Árbol lote 2 ramilla 6-0	woodDark	4.421677589416504,3.5259697437286377,15.52884578704834	0.013399999588727951,0.6447961926460266,0.013399999588727951
112	ground	Árbol lote 2 ramilla 6-1	woodDark	4.621185779571533,3.495425224304199,15.486276626586914	0.013399999588727951,0.6045085191726685,0.013399999588727951
113	ground	Árbol lote 2 ramilla 6-2	woodDark	4.778547286987305,3.607290267944336,15.616094589233398	0.013399999588727951,0.7656038403511047,0.013399999588727951
114	ground	Árbol lote 2 rama 7	woodDark	4.824921607971191,2.3456101417541504,16.48723793029785	0.053462181240320206,1.4347072839736938,0.053462181240320206
115	ground	Árbol lote 2 ramilla 7-0	woodDark	5.381044387817383,3.047935724258423,15.942059516906738	0.013399999588727951,0.8039964437484741,0.013399999588727951
116	ground	Árbol lote 2 ramilla 7-1	woodDark	5.551294803619385,2.8462820053100586,16.054443359375	0.013399999588727951,0.5313405990600586,0.013399999588727951
117	ground	Árbol lote 2 ramilla 7-2	woodDark	5.569090843200684,2.9758291244506836,16.257665634155273	0.013399999588727951,0.6919946074485779,0.013399999588727951
118	ground	Árbol lote 2 hojas	leaf	4.300000190734863,0,16.799999237060547	1,1,1
119	ground	Árbol lote 3 tronco	woodDark	8.199999809265137,0.9570000171661377,13.550000190734863	0.09976000338792801,1.9140000343322754,0.09976000338792801
120	ground	Árbol lote 3 alcorque	soil	8.199999809265137,0.0430000014603138,13.550000190734863	0.5335999727249146,0.01600000075995922,0.5335999727249146
121	ground	Árbol lote 3 rama 0	woodDark	8.519540786743164,1.7966492176055908,13.563249588012695	0.039959587156772614,1.1153346300125122,0.039959587156772614
122	ground	Árbol lote 3 ramilla 0-0	woodDark	8.971746444702148,2.387022018432617,13.422846794128418	0.011599999852478504,0.48595285415649414,0.011599999852478504
123	ground	Árbol lote 3 ramilla 0-1	woodDark	9.041906356811523,2.436835765838623,13.584908485412598	0.011599999852478504,0.5470707416534424,0.011599999852478504
124	ground	Árbol lote 3 ramilla 0-2	woodDark	8.958571434020996,2.3553788661956787,13.740604400634766	0.011599999852478504,0.4542625844478607,0.011599999852478504
125	ground	Árbol lote 3 rama 1	woodDark	8.456339836120605,1.9009219408035278,13.920489311218262	0.04600311070680618,1.3593732118606567,0.04600311070680618
126	ground	Árbol lote 3 ramilla 1-0	woodDark	8.915243148803711,2.578148126602173,14.304272651672363	0.011599999852478504,0.5273911356925964,0.011599999852478504
127	ground	Árbol lote 3 ramilla 1-1	woodDark	8.828182220458984,2.634502410888672,14.457916259765625	0.011599999852478504,0.6055756211280823,0.011599999852478504
128	ground	Árbol lote 3 ramilla 1-2	woodDark	8.65371036529541,2.5582756996154785,14.485225677490234	0.011599999852478504,0.5029554963111877,0.011599999852478504
129	ground	Árbol lote 3 rama 2	woodDark	7.961106777191162,1.8712784051895142,13.957871437072754	0.04665349796414375,1.274087905883789,0.04665349796414375
130	ground	Árbol lote 3 ramilla 2-0	woodDark	7.795650959014893,2.4833693504333496,14.554993629455566	0.011599999852478504,0.5493218898773193,0.011599999852478504
131	ground	Árbol lote 3 ramilla 2-1	woodDark	7.619617462158203,2.473729133605957,14.540908813476562	0.011599999852478504,0.5365237593650818,0.011599999852478504
132	ground	Árbol lote 3 ramilla 2-2	woodDark	7.521226406097412,2.562164545059204,14.394261360168457	0.011599999852478504,0.6657432913780212,0.011599999852478504
133	ground	Árbol lote 3 rama 3	woodDark	7.7692999839782715,1.9733774662017822,13.692526817321777	0.03984026983380318,1.31654691696167,0.03984026983380318
134	ground	Árbol lote 3 ramilla 3-0	woodDark	7.268759250640869,2.611701250076294,14.025662422180176	0.011599999852478504,0.5186198353767395,0.011599999852478504
135	ground	Árbol lote 3 ramilla 3-1	woodDark	7.145878314971924,2.6013166904449463,13.89883041381836	0.011599999852478504,0.5059583783149719,0.011599999852478504
136	ground	Árbol lote 3 ramilla 3-2	woodDark	7.168845176696777,2.7117583751678467,13.723733901977539	0.011599999852478504,0.6619389653205872,0.011599999852478504
137	ground	Árbol lote 3 rama 4	woodDark	7.842321395874023,2.1735172271728516,13.329977035522461	0.043377965688705444,1.5058091878890991,0.043377965688705444
138	ground	Árbol lote 3 ramilla 4-0	woodDark	7.293847560882568,2.991225481033325,13.179280281066895	0.011599999852478504,0.5599192976951599,0.011599999852478504
139	ground	Árbol lote 3 ramilla 4-1	woodDark	7.311737537384033,3.0145280361175537,13.003593444824219	0.011599999852478504,0.5929773449897766,0.011599999852478504
140	ground	Árbol lote 3 ramilla 4-2	woodDark	7.460479259490967,2.9572620391845703,12.908397674560547	0.011599999852478504,0.5155006051063538,0.011599999852478504
141	ground	Árbol lote 3 rama 5	woodDark	8.132597923278809,2.0637476444244385,13.150911331176758	0.036084238439798355,1.2298537492752075,0.036084238439798355
142	ground	Árbol lote 3 ramilla 5-0	woodDark	7.887386798858643,2.7199819087982178,12.653879165649414	0.011599999852478504,0.5606023669242859,0.011599999852478504
143	ground	Árbol lote 3 ramilla 5-1	woodDark	8.031389236450195,2.696124315261841,12.551657676696777	0.011599999852478504,0.5288298726081848,0.011599999852478504
144	ground	Árbol lote 3 ramilla 5-2	woodDark	8.200976371765137,2.7241008281707764,12.600916862487793	0.011599999852478504,0.5663144588470459,0.011599999852478504
145	ground	Árbol lote 3 rama 6	woodDark	8.423338890075684,1.972772479057312,13.058459281921387	0.04754747450351715,1.2549852132797241,0.04754747450351715
146	ground	Árbol lote 3 ramilla 6-0	woodDark	8.554105758666992,2.530278444290161,12.386255264282227	0.011599999852478504,0.6252235770225525,0.011599999852478504
147	ground	Árbol lote 3 ramilla 6-1	woodDark	8.730652809143066,2.539708137512207,12.382102012634277	0.011599999852478504,0.6396830081939697,0.011599999852478504
148	ground	Árbol lote 3 ramilla 6-2	woodDark	8.843649864196777,2.4885952472686768,12.517814636230469	0.011599999852478504,0.5644277334213257,0.011599999852478504
149	ground	Árbol lote 3 rama 7	woodDark	8.599617958068848,2.20151686668396,13.211615562438965	0.036768849939107895,1.4429538249969482,0.036768849939107895
150	ground	Árbol lote 3 ramilla 7-0	woodDark	8.992777824401855,2.8483951091766357,12.670334815979004	0.011599999852478504,0.5054807066917419,0.011599999852478504
151	ground	Árbol lote 3 ramilla 7-1	woodDark	9.154156684875488,2.7910525798797607,12.742050170898438	0.011599999852478504,0.44676047563552856,0.011599999852478504
152	ground	Árbol lote 3 ramilla 7-2	woodDark	9.198294639587402,2.8425686359405518,12.913041114807129	0.011599999852478504,0.49862682819366455,0.011599999852478504
153	ground	Árbol lote 3 hojas	leaf	8.199999809265137,0,13.550000190734863	1,1,1
154	ground	Árbol lote 4 tronco	woodDark	9.850000381469727,0.8414999842643738,17.850000381469727	0.08771999925374985,1.6829999685287476,0.08771999925374985
155	ground	Árbol lote 4 alcorque	soil	9.850000381469727,0.0430000014603138,17.850000381469727	0.4691999852657318,0.01600000075995922,0.4691999852657318
156	ground	Árbol lote 4 rama 0	woodDark	10.18639087677002,1.8011194467544556,17.963607788085938	0.03289636969566345,1.4341808557510376,0.03289636969566345
157	ground	Árbol lote 4 ramilla 0-0	woodDark	10.67264461517334,2.581770181655884,17.980247497558594	0.010200000368058681,0.4762765169143677,0.010200000368058681
158	ground	Árbol lote 4 ramilla 0-1	woodDark	10.691896438598633,2.672037363052368,18.13433265686035	0.010200000368058681,0.6109529137611389,0.010200000368058681
159	ground	Árbol lote 4 ramilla 0-2	woodDark	10.583165168762207,2.6593005657196045,18.245193481445312	0.010200000368058681,0.5904684066772461,0.010200000368058681
160	ground	Árbol lote 4 rama 1	woodDark	9.916115760803223,1.744616985321045,18.19014549255371	0.03358279541134834,1.2507786750793457,0.03358279541134834
161	ground	Árbol lote 4 ramilla 1-0	woodDark	10.140658378601074,2.459195375442505,18.612529754638672	0.010200000368058681,0.5271934270858765,0.010200000368058681
162	ground	Árbol lote 4 ramilla 1-1	woodDark	10.016290664672852,2.514308452606201,18.705509185791016	0.010200000368058681,0.6128630638122559,0.010200000368058681
163	ground	Árbol lote 4 ramilla 1-2	woodDark	9.866148948669434,2.448110342025757,18.6658878326416	0.010200000368058681,0.5111005902290344,0.010200000368058681
164	ground	Árbol lote 4 rama 2	woodDark	9.755157470703125,1.7174348831176758,18.28052520751953	0.035580188035964966,1.256399154663086,0.035580188035964966
165	ground	Árbol lote 4 ramilla 2-0	woodDark	9.772994041442871,2.281041145324707,18.849491119384766	0.010200000368058681,0.42583930492401123,0.010200000368058681
166	ground	Árbol lote 4 ramilla 2-1	woodDark	9.621912956237793,2.249800443649292,18.8853702545166	0.010200000368058681,0.39526447653770447,0.010200000368058681
167	ground	Árbol lote 4 ramilla 2-2	woodDark	9.499894142150879,2.330026149749756,18.789329528808594	0.010200000368058681,0.4862339198589325,0.010200000368058681
168	ground	Árbol lote 4 rama 3	woodDark	9.604349136352539,1.7128325700759888,18.06201171875	0.03250228613615036,1.0255309343338013,0.03250228613615036
169	ground	Árbol lote 4 ramilla 3-0	woodDark	9.366056442260742,2.3526437282562256,18.452373504638672	0.010200000368058681,0.6026730537414551,0.010200000368058681
170	ground	Árbol lote 4 ramilla 3-1	woodDark	9.223567008972168,2.3402841091156006,18.39065170288086	0.010200000368058681,0.5829410552978516,0.010200000368058681
171	ground	Árbol lote 4 ramilla 3-2	woodDark	9.183341979980469,2.237169027328491,18.24066925048828	0.010200000368058681,0.4384905695915222,0.010200000368058681
172	ground	Árbol lote 4 rama 4	woodDark	9.449498176574707,1.8793443441390991,17.67156219482422	0.04030104726552963,1.3567571640014648,0.04030104726552963
173	ground	Árbol lote 4 ramilla 4-0	woodDark	8.890739440917969,2.557269334793091,17.575687408447266	0.010200000368058681,0.47980064153671265,0.010200000368058681
174	ground	Árbol lote 4 ramilla 4-1	woodDark	8.885948181152344,2.5219905376434326,17.42047882080078	0.010200000368058681,0.435833603143692,0.010200000368058681
175	ground	Árbol lote 4 ramilla 4-2	woodDark	9.004548072814941,2.6158766746520996,17.32024574279785	0.010200000368058681,0.5648865699768066,0.010200000368058681
176	ground	Árbol lote 4 rama 5	woodDark	9.668516159057617,1.7347793579101562,17.458690643310547	0.033560846000909805,1.0827836990356445,0.033560846000909805
177	ground	Árbol lote 4 ramilla 5-0	woodDark	9.313502311706543,2.297616958618164,17.025554656982422	0.010200000368058681,0.591259777545929,0.010200000368058681
178	ground	Árbol lote 4 ramilla 5-1	woodDark	9.411930084228516,2.237338066101074,16.90545082092285	0.010200000368058681,0.5004802942276001,0.010200000368058681
179	ground	Árbol lote 4 ramilla 5-2	woodDark	9.567193031311035,2.250608444213867,16.907896041870117	0.010200000368058681,0.5194265246391296,0.010200000368058681
180	ground	Árbol lote 4 rama 6	woodDark	10.047630310058594,1.7522951364517212,17.462085723876953	0.035528820008039474,1.0560574531555176,0.035528820008039474
181	ground	Árbol lote 4 ramilla 6-0	woodDark	10.171043395996094,2.1369223594665527,16.91183090209961	0.010200000368058681,0.39612817764282227,0.010200000368058681
182	ground	Árbol lote 4 ramilla 6-1	woodDark	10.32629108428955,2.202648639678955,16.91512107849121	0.010200000368058681,0.4683256447315216,0.010200000368058681
183	ground	Árbol lote 4 ramilla 6-2	woodDark	10.42021656036377,2.1785073280334473,17.038776397705078	0.010200000368058681,0.43862229585647583,0.010200000368058681
184	ground	Árbol lote 4 rama 7	woodDark	10.22602367401123,1.796340823173523,17.76384162902832	0.04303988069295883,0.9736337065696716,0.04303988069295883
185	ground	Árbol lote 4 ramilla 7-0	woodDark	10.678972244262695,2.293341636657715,17.51660919189453	0.010200000368058681,0.5362324714660645,0.010200000368058681
186	ground	Árbol lote 4 ramilla 7-1	woodDark	10.776037216186523,2.341752767562866,17.637815475463867	0.010200000368058681,0.6118828058242798,0.010200000368058681
187	ground	Árbol lote 4 ramilla 7-2	woodDark	10.741429328918457,2.2112863063812256,17.78919219970703	0.010200000368058681,0.42795953154563904,0.010200000368058681
188	ground	Árbol lote 4 hojas	leaf	9.850000381469727,0,17.850000381469727	1,1,1
